cwe_id,entry_type,title,description
79,weakness,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
80,weakness,CWE-80: Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages."
83,weakness,CWE-83: Improper Neutralization of Script in Attributes in a Web Page,"The product does not neutralize or incorrectly neutralizes ""javascript:"" or other URIs from dangerous attributes within tags, such as onmouseover, onload, onerror, or style."
89,weakness,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs, the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data."
200,weakness,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
287,weakness,CWE-287: Improper Authentication,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct."
346,weakness,CWE-346: Origin Validation Error,The product does not properly verify that the source of data or communication is valid.
359,weakness,CWE-359: Exposure of Private Personal Information to an Unauthorized Actor,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected."
400,weakness,CWE-400: Uncontrolled Resource Consumption,The product does not properly control the allocation and maintenance of a limited resource.
451,weakness,CWE-451: User Interface (UI) Misrepresentation of Critical Information,"The user interface (UI) does not properly represent critical information to the user, allowing the information - or its source - to be obscured or spoofed. This is often a component in phishing attacks."
459,weakness,CWE-459: Incomplete Cleanup,"The product does not properly ""clean up"" and remove temporary or supporting resources after they have been used."
476,weakness,CWE-476: NULL Pointer Dereference,The product dereferences a pointer that it expects to be valid but is NULL.
522,weakness,CWE-522: Insufficiently Protected Credentials,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
601,weakness,CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),"The web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a redirect."
640,weakness,CWE-640: Weak Password Recovery Mechanism for Forgotten Password,"The product contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak."
693,weakness,CWE-693: Protection Mechanism Failure,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.
862,weakness,CWE-862: Missing Authorization,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.
922,weakness,CWE-922: Insecure Storage of Sensitive Information,The product stores sensitive information without properly limiting read or write access by unauthorized actors.
939,weakness,CWE-939: Improper Authorization in Handler for Custom URL Scheme,"The product uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme."
1021,weakness,CWE-1021: Improper Restriction of Rendered UI Layers or Frames,The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain.
